Кукла ,ID игрушки: 3 , вес игрушки: 6
Кукла ,ID игрушки: 3 , вес игрушки: 6
Конструктор ,ID игрушки: 1 , вес игрушки: 2
Кукла ,ID игрушки: 3 , вес игрушки: 6
Кукла ,ID игрушки: 3 , вес игрушки: 6
Конструктор ,ID игрушки: 1 , вес игрушки: 2
Кукла ,ID игрушки: 3 , вес игрушки: 6
Кукла ,ID игрушки: 3 , вес игрушки: 6
Кукла ,ID игрушки: 3 , вес игрушки: 6
Конструктор ,ID игрушки: 1 , вес игрушки: 2
Кукла ,ID игрушки: 3 , вес игрушки: 6
Кукла ,ID игрушки: 3 , вес игрушки: 6
Кукла ,ID игрушки: 3 , вес игрушки: 6
Кукла ,ID игрушки: 3 , вес игрушки: 6
Робот ,ID игрушки: 2 , вес игрушки: 2
Робот ,ID игрушки: 2 , вес игрушки: 2
Кукла ,ID игрушки: 3 , вес игрушки: 6
